preprocessed_text,label_sentiment,predicted_label_svm,predicted_label_rf
cara menjawa soal latih pecah kelas sd kurikulum merdeka,0,1,1
sekolah baru punya silup kenapa enggak pakai kurikulum merdeka,1,1,1
tanyarl hogwarts pakai kurikulum merdeka gak,1,1,1
padahal gen saja itu generasi yang paling apes sambut krismon kurikulum ktsp dadak ganti lalu ganti lagi jadi kurikulum merdeka belum lagi awal sambut pandemi global imbas usaha pada bangkrut tapi disalahin mulu,0,0,0
memang iya kurikulum merdeka kayak gin siapa nih guru jelasin dong ini nama bukan merdeka tapi derita sc tt,1,0,0
permendikbudrisek kurikulum merdeka baru di uji publik tidak sesuai urut bijak sudah jalan atur susul hayo lama ini kalian jalan kurikulum makhluk apa hayo dalam ilmu sejarah ini sebut anakronisme etapi sejarah kan enggak penting iya lupa,2,0,0
begini cerita kita pikir positif bahwa menteri didik ingin baik didik indonesia maka rubah kurikulum nyata kurikulum sulit difahami maka buat program tambah sekolah sesuai sp dan latih cara sampling gp untuk,2,2,2
soal uaspas pai kelas semester kurikulum merdeka dan kuncijawabannya,1,1,1
un yang baik kualitas soal amp tuju asesmennya untuk meta bahkan dipretelin zonasi beranta bikin anakanak enggak sekolah amp kurikulum merdeka implementasi bikin sulit guru snbt uji mata ajar hilang dosa jokowi paling akbar itu nadiem,0,2,2
tolak revisi uu kpk guru besar indonesia sebut tidak rela negara puruk,2,2,2
tahun masa perintah presiden joko widodo telah keluar bijak zonasi dan kurikulum merdeka dengan tuju tingkat kualitas didik namun jauh mana perintah telah beri dukung yang pada bagi sekolah guru dan siswa dalam implementasi bijak,0,2,2
ikut ini adalah beberapa contoh deskripsi rapor semester ganjil kurikulum merdeka jenjang sd sampai dan sma rapor kurikulum merdeka tidak hanya sekadar kumpul angka,1,0,1
soal ulang agama kristen kelas dan kunci jawab tahun kurikulum merdeka semester lewat tribunnews,1,1,1
ikut kunci jawab pai kelas halaman dan kurikulum merdeka nilai tahu ba,2,1,1
kurikulum merdeka buat sd itu pas bagi rapo ada sistem rangking enggak ya tia,2,2,1
bagaimana dapat kalian tentang kurikulum merdeka,1,1,1
ini enggak bisa cuma jadi tugas kemendikbud doang kurikulum merdeka itu shortterm solution ini the paling literal sense hanya laku lama tahun dan itu masih enggak efektif untuk selesai masalah labor force mismatch belum lagi mindset bijak salah anggap,0,0,0
hasil kurikulum merdeka nadiemmakarim panjang osis banyak yang enggak tau kurikulum gagal dan menteri gagal,0,0,0
yang gagal itu sdm nya enggak sih kurikulum merdeka ini bagus loh benar tapi mental warga saja yang belum siap sekian puluh tahun di jajah iya mental nya mental budak bukan mental merdeka toh kalaupun ada kurang turut saya lebih ke dewasa sdm nya guru dosen dsb,2,2,0
leonardo dah vinci orang jenius nyaris tanpa didik formal selain hanya baca tulis apkh ini contoh idealisme kurikulum merdeka ajar memang harus didik adalah merdeka bukan jajah homo,2,2,2
