conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1727886807868850194,Fri Nov 24 03:08:12 +0000 2023,6027,Hah? Ini buku teks terbitan mana? Di buku teks Kurikulum Merdeka terbitan Kemdikbudristek semua materi udah punya perspektif kesetaraan gender. Pekerjaan rumah dilakukan dengan gotong royong. Di ilustrasinya pun yg menyapu &amp; mengepel bukan cuma anak perempuan. https://t.co/d67ALhK3GU,1727886807868850194,https://pbs.twimg.com/media/F_qv45BagAEe4bK.jpg,,in,Jakarta and Frankfurt,120,66,1353,https://x.com/adekumala/status/1727886807868850194,30654287,adekumala
1806991774990414176,Sat Jun 29 10:03:06 +0000 2024,1177,Untuk temen-temen yang sulit memahami Kurikulum Merdeka saya bantu melalui kronologi. Kesulitan terbesarnya karena sampai final disebut kurikulum Merdeka kementerian menerbitkan banyak nama kurikulum. Kurikulum merdeka menggantikan kurikulum 2013 (K13) terinspirasi dari https://t.co/pFCujjfgra,1806991774990414176,https://pbs.twimg.com/media/GRO5bi7agAAV_0t.jpg,,in,,11,22,302,https://x.com/zanatul_91/status/1806991774990414176,88120377,zanatul_91
1804725109405765864,Sun Jun 23 03:56:10 +0000 2024,225,Dalam naskah akademik Kurikulum Merdeka dorongan pembelajaran terdiferensiasi tujuannya agar (diharapkan) praktik tinggal kelas atau tidak naik kelas dapat ditinggalkan. Pada satu sisi harapan ini sungguh mulia. Pada sisi lain ini artinya guru harus lebih kerja keras dalam https://t.co/BH72XQeKZ7,1804725109405765864,https://pbs.twimg.com/media/GQur6_4aQAAFB11.jpg,,in,,16,36,65,https://x.com/zanatul_91/status/1804725109405765864,88120377,zanatul_91
1772780006277787903,Wed Mar 27 00:47:28 +0000 2024,386,Gak perlu pindah negara ke Jerman atau Australia. Indonesia sekarang punya kurikulum yg fokus pada materi esensial sehingga anak2 bisa belajar dg lebih mendalam. Insyaallah hari ini Kurikulum Merdeka akan ditetapkan sebagai kurikulum nasional. Simak di: https://t.co/SfmMycbw6R https://t.co/Ly3t5CQpBn,1772787488970707112,https://pbs.twimg.com/media/GJo003xaQAACcRi.jpg,adekumala,in,Jakarta and Frankfurt,63,14,27,https://x.com/adekumala/status/1772787488970707112,30654287,adekumala
1843656897242771641,Tue Oct 08 14:17:17 +0000 2024,1,Cth kcil pdf buku mtk kls 5. Ini buku kurikulum merdeka respon pengajar sm yg diajar gimana? Pusing ga ngerti acak-acakan lbih enak yg dulu langsung caranya Hell yh. Yg dikasih ke anak2 ini kl dr blom taxonomy (struktur hierarki yg identify keterampilan berpikir mulai dari https://t.co/f7QonUJltT,1843656916897280455,https://pbs.twimg.com/media/GZX8MIrasAYYWMS.jpg,godIlovehyunnie,in,wondeful Indonesia,0,1,0,https://x.com/godIlovehyunnie/status/1843656916897280455,873533242686570497,godIlovehyunnie
1741757222932361292,Mon Jan 01 09:44:16 +0000 2024,12523,Setelah kurikulum merdeka pelajaran sejarah SMA/Sederajat menyusut dari 17 jp (Kurtilas) menyusut menjadi 6 jp (Kurikulum merdeka) Berikut lembar sejarah berdarah yang hilang: -Tread-,1741757222932361292,,,in,,663,174,3194,https://x.com/zanatul_91/status/1741757222932361292,88120377,zanatul_91
1772736132574228958,Tue Mar 26 21:23:24 +0000 2024,24817,kurikulum merdeka adalah kurikulum TERGAJELAS. Anak kelas 1 SD disuruh bikin prakarya dan dijual trus itung untung ruginya. Permisi anak gua masih ndusel ke leher gua kalo mau tidur disuruh nyari laba hasil jual gantungan kunci ,1772736132574228958,,,in,,963,322,4312,https://x.com/VindhTR/status/1772736132574228958,340284696,VindhTR
1845178351885090990,Sat Oct 12 19:02:55 +0000 2024,0, matematika lanjut kelas 11 semester 1 : Transformasi Geometri Menggunakan Matriks materi kelas 11; matematika minat; transformasi geometri; semester 1; kurikulum merdeka; kurmer (TRANSLASI) https://t.co/ZebTcr1EI7,1845178351885090990,https://pbs.twimg.com/media/GZtj7YfaAAQADbI.jpg,,in,,0,1,0,https://x.com/gabriellstrn/status/1845178351885090990,1566825624341463040,gabriellstrn
1843227195822776446,Mon Oct 07 09:49:43 +0000 2024,4,KURIKULUM MERDEKA Merdeka melakukan sex bebas Merdeka melakukan perudungan Merdeka menghajar guru Merdeka melakukan pencabulan kepada murid Merdeka melakukan apa saja di kelas.. https://t.co/5gEYANPiow,1843227195822776446,https://pbs.twimg.com/media/GZR1TsDbUAAqHLv.jpg,,in,,0,0,2,https://x.com/doelpaten/status/1843227195822776446,1194169494832173056,doelpaten
1834437408009715860,Fri Sep 13 15:27:03 +0000 2024,1759,@tenwayvx Karena Kurikulum Merdeka itu berorientasi pada proses nder bukan pada hasil. Acuannya adalah nilai P5. Para pelajar dapat mengamati dan menyelesaikan permasalahan melalui lima aspek utama yaitu: Potensi diri. Pemberdayaan diri. Peningkatan diri. Pemahaman diri. Peran sosial.,1834614781028008199,,tenwayvx,in,"Jombang, Indonesia",23,47,157,https://x.com/agussiswoyo/status/1834614781028008199,43895683,agussiswoyo
