preprocessed_text,label_sentiment
hah ini buku teks terbit mana di buku teks kurikulum merdeka terbit kemdikbudristek semua materi sudah punya perspektif tara gender kerja rumah laku dengan gotong royong di ilustrasi pun yang sapu amp kepel bukan cuma anak perempuan,negatif
untuk temanteman yang sulit paham kurikulum merdeka saya bantu lalu kronologi sulit besar karena sampai final sebut kurikulum merdeka menteri terbit banyak nama kurikulum kurikulum merdeka ganti kurikulum inspirasi dari,negatif
kurikulum merdeka adalah kurikulum tergajelas anak kelas sd suruh bikin prakarya dan jual terus hitung untung rugi permisi anak saya masih ndusel ke leher saya kalau mau tidur suruh cari laba hasil jual gantung kunci,negatif
ini hasil karya kurikulum merdeka rezim sekarang apa terus kita diam saja pasrah enggak ikut politik an,negatif
baca alas hapus jurus kurikulum merdeka ini saya tuju dulu nyaksiin sendiri teman maksa pindah ke swasta supaya dapat jurus ipa padahal dia enggak mau,negatif
gue saudara lakilaki korban ubah kurikulum merdeka,negatif
hasil kurikulum merdeka nadiemmakarim panjang osis banyak yang enggak tau kurikulum gagal dan menteri gagal,negatif
selamat atas luncur sastra masuk kurikulum baca sastra kini jadi bagi dari kurikulum merdeka banyak judul telah rasi oleh para kurator pilih mana yang masuk jenjang didik sd sampai hingga sma lengkap bisa kepo,negatif
adiemappunya tanyakanrl daripada misuh lebih arah kaget telah baca struktur kurikulum merdeka transisi jauh banget beda banget sampai anak sama bisa pilih mapel pilih tuh woow mana bates transisi cuma sampai moga kejar deh siap tenaga dan fasilitas ajar nya,negatif
un yang baik kualitas soal amp tuju asesmennya untuk meta bahkan dipretelin zonasi beranta bikin anakanak enggak sekolah amp kurikulum merdeka implementasi bikin sulit guru snbt uji mata ajar hilang dosa jokowi paling akbar itu nadiem,negatif
output didik kurikulum merdeka kemdikbud ri besut nadiemmakarim sih menteri didik gagal kurikulummerdeka,negatif
kurikulum merdeka kalau ada yang rumit kapai pilih yang gampang ngik,negatif
guyss kalian yang sama nya pakai kurikulum merdeka pusing juga enggak sih sama tugas,negatif
kurikulum merdeka itu letak merdeka mana ya,negatif
smenjak kurikulum merdeka saya jadi takut sekolah bejir rasa kayak enggak tenang gelisah dan waswas melulu kalo mau berangkat,negatif
gue sebel sama beban kelompok anjenkkkkkkk kurikulum merdeka kenapa kelompok melulu sih tugas syal,negatif
belakang sedikit ikut topik tentang kurikulum merdeka baru ingat dulu gue pas kuliah pernah tulis curhatan tentang kurikulum yang nyata mirip dengan konsep kurikulum merdeka sekarang untung ada wayback machine jadi bisa lihat lagi postingan lama gue repost lagi sini,negatif
mdy iya bagaimana iya beliau kan lebih expe di bisnis tapi taruh di bagi didik tuh kayak bagaimana begitu dari awal juga yang waktu sama pak anies saja yang kurtilas rasa beban padahal pak anies ahli apalagi ini kurikulum merdeka cerita tapi bahkan bikin pusing,negatif
makin kuat prasangka gue dan zonasi kurikulum merdeka enggak ada asesmen standar untuk mapel finladia wannabe pmm abai hadap kapasitas guru pegang itu semua adalah skema nadiem untuk busuk negeri,negatif
ini kurikulum merdeka orang tua asal percaya aja anak jadi rusak,negatif
hasil kerja kurikulum merdeka nadiem bagai mendikbud lulus sekolah indonesia tidak aku dan harus tempuh proses khusus untuk dapat lanjut di university of twente terima kasih pak jokowi,negatif
kurikulum didik nusantara anak kelas sd diniyah plus kurikulum merdeka baru masuk paksa tulis tentang definisi kode etik dalam tik di mata ajar tik apa urgensi begitu lho kirakira sih nadiemkarim paham enggak perkara etik tik ini,negatif
indonesia darurat keras seksual di sekolah kurikulum merdeka bisa apa,negatif
dulu mikir itu sudah yang buruk tapi masih ada kurikulum merdeka yang nyata lebih buruk,negatif
tahun masa perintah presiden joko widodo telah keluar bijak zonasi dan kurikulum merdeka dengan tuju tingkat kualitas didik namun jauh mana perintah telah beri dukung yang pada bagi sekolah guru dan siswa dalam implementasi bijak,negatif
zakkafm irwndfrry un hapus dan zonasi kenapa tetap tahan karena biaya un dan seleksi sekolah itu biaya besar masuk kurikulum merdeka jadi paksa kreatif dengan modal sendiri,negatif
kurikulum merdeka is fucking shit untung masih pakai,negatif
soundofyogi gue kira gue doang yang bingung sama korelasi apa garagara habis pusing beres lapor ini dampak kurikulum merdeka apa biasa komparasi dapat yang tidak apple tapi apple,negatif
penjara kan dia yang rusak generasi indonesia emas jadi indonesi cemas dengan tuju makin banyak yang bakal jadi driver aplikasi sudah begitu tarif driver buat murah mungkin dan biaya layan besar mungkin bangkai memang kurikulum merdeka bahkan bikin sengsara,negatif
negativisme hapus kan kurikulum merdeka kembali marwah guru yang injak sistem dan tidak bisa beri disipliner kepada siswa yang masalah mental,negatif
cara menjawa soal latih pecah kelas sd kurikulum merdeka,negatif
nenkmonica nadiemmakarim rill rasai banget susah kurikulum merdeka guru bingung plus banyak administrasi jadi enggak fokus ajar ke anak,negatif
kur merdeka saya rasa standar internasional but not the best for us jadi gimana pilih salah satu pondasi yang turut perintah baik kurang tambah jangan ubah ganti presiden kurikulum jangan ganti sistem didik baik tetap for long term jangan ikut periode presiden,negatif
kumpar setujuuuuuu pak kurikulum merdeka adalah kurikulum paling amburadul kurikulum paling bodoh yang pernah ada di republik indonesia,negatif
kurikulum merdeka bukan merdeka bahkan tambah derita hari minggu bukan buat hiling bahkan buat ngerjain tugas yang bikin pusing,negatif
gelap terang implementasi kurikulum merdeka,negatif
lho kalau begitu mimind sudah laksana kurikulum merdeka dari tahund dong yakin deh kanan dan kiri itu diajarkand cumand yang pendek djadi favorit karena kalian sendiri,negatif
saya lihat kurikulum merdeka itu kurang efektif anakanak jadi jarang tulis namun suka presentasi amp itu materi banyak lihat copas dari google benarbenar enggak ada beda kalimat dengan google telah itu presentasi pun bukan paham bahkan kayak angin lewat doang,negatif
mulai ada perspektif kurikulum merdeka itu karena ikut finland itu dari mana ya tau gue kenapa muncul kurikulum merdeka ini dasar butuh yang akan hadap siswa di abad,negatif
salah satu hasil dari kurikulum merdeka miris itu dulu anakanak sd juga sudah hafal dar seperti itu buka uud uud gbhn dll kalo bocah sekarang dari pancasila juga masih belepotan,negatif
