Word,Frequency
kurikulum,272
merdeka,265
tidak,81
dan,77
ajar,75
yg,69
kelas,67
yang,62
ini,61
di,58
itu,47
1,44
soal,44
ada,40
jawab,38
jadi,36
kunci,36
didik,36
tahun,35
sekolah,34
guru,33
semester,33
2024,33
lewat,31
ya,30
tribunnews,30
anak,29
ulang,28
dari,26
bisa,24
banyak,23
sd,22
mau,21
bikin,20
apa,19
tapi,19
untuk,18
lebih,18
aku,18
bukan,17
indonesia,17
bahasa,17
atau,16
harus,16
nya,16
aja,16
dengan,15
dalam,15
naik,15
nasional,15
cara,15
murid,15
nadiemmakarim,15
terap,15
ke,14
masih,14
11,14
nadiem,14
baca,14
lengkap,14
juga,14
paham,13
pada,13
sekarang,13
dulu,13
hasil,13
sistem,13
kurikulummerdeka,13
pake,13
malah,13
kan,13
buat,13
12,13
lulus,13
siswa,13
buku,12
materi,12
karena,12
telah,12
sih,12
nenkmonica,12
laku,11
bebas,11
nilai,11
sendiri,11
amp,10
saya,10
sebut,10
tuju,10
45,10
pilih,10
jk,10
cocok,10
kalau,10
jauh,10
belum,10
sama,10
salah,10
semua,9
udah,9
k13,9
satu,9
gimana,9
6,9
ikut,9
adalah,9
tp,9
gw,9
bagus,9
bagi,9
jelas,9
pak,9
agama,9
mana,8
kalo,8
turut,8
tau,8
gagal,8
masuk,8
beda,8
baru,8
makin,8
contoh,8
sulit,7
lalu,7
sampai,7
dapat,7
tetap,7
5,7
pusing,7
matematika,7
akhir,7
kurang,7
kualitas,7
kaya,7
gue,7
dia,7
un,7
sesuai,7
sma,7
konsep,7
uji,7
paling,7
lagi,7
inggris,7
bijak,7
tahu,7
41,7
terbit,6
kerja,6
tinggal,6
anak2,6
dg,6
tingkat,6
hanya,6
baik,6
kritik,6
hapus,6
fisika,6
beri,6
dasar,6
kata,6
implementasi,6
namun,6
ngajar,6
suka,6
standar,6
sumatif,6
arhan,6
johny,6
warisover,6
afifah,6
agaklaen,6
banten,6
tereliye,6
rasulullah,6
pramono,6
eliano,6
bahrain,6
lanjutkanboikot,6
welcomebackrenjun,6
besar,5
menteri,5
negara,5
fokus,5
sm,5
kasih,5
mulai,5
trus,5
gua,5
utama,5
tanyakanrl,5
kembang,5
saat,5
pancasila,5
utk,5
tak,5
emang,5
gin,5
gk,5
dapet,5
bahkan,5
smp,5
banget,5
sampe,5
tuh,5
administrasi,5
asal,5
benar,5
sini,5
bakal,5
memang,5
nyata,5
butuh,5
pas,5
tugas,5
biar,5
mending,5
pernah,5
kuliah,5
liat,5
lama,5
budaya,5
gitu,5
waktu,5
giat,5
jd,5
mental,5
orang,5
seni,5
bgt,5
depan,5
30,5
miftah,5
punya,4
pun,4
ganti,4
2013,4
akademik,4
harap,4
sehingga,4
akan,4
bagai,4
kls,4
dr,4
sejarah,4
untung,4
lanjut,4
proses,4
p5,4
para,4
diri,4
peran,4
kali,4
hadap,4
beranta,4
pertama,4
isi,4
iya,4
swasta,4
padahal,4
sudah,4
opposite6892,4
arah,4
mapel,4
gaji,4
4,4
zonasi,4
mata,4
sender,4
7,4
ngapain,4
kalian,4
udh,4
rasa,4
papar,4
tentang,4
terima,4
tanpa,4
perintah,4
ilmu,4
doang,4
kuat,4
presiden,4
paksa,4
tambah,4
penting,4
hafal,4
ktsp,4
bingung,4
jujur,4
logika,4
jg,4
skrg,4
moral,4
43,4
adik,4
bus,4
uas,4
sas,4
teks,3
rumah,3
cuma,3
tementemen,3
nama,3
arti,3
pindah,3
hari,3
simak,3
ngerti,3
enak,3
kurtilas,3
transformasi,3
guna,3
minat,3
kurmer,3
saja,3
masalah,3
uud,3
wajib,3
makarim,3
kreatif,3
kemdikbud,3
ri,3
kenapa,3
merdekabelajar,3
sejak,3
pmm,3
hingga,3
dong,3
terus,3
jurus,3
temen,3
ipa,3
ubah,3
adek,3
panjang,3
krn,3
atas,3
sastra,3
judul,3
daripada,3
transisi,3
dah,3
2,3
anggap,3
bla,3
bilang,3
rumit,3
si,3
minta,3
mulu,3
beban,3
kampus,3
tetep,3
emg,3
pr,3
paket,3
engga,3
nulis,3
ttp,3
tulis,3
full,3
gila,3
mdy,3
asmara1701,3
apalagi,3
projek,3
aplikasi,3
capai,3
anakanak,3
kek,3
kau,3
rupa,3
kait,3
jusuf,3
kalla,3
beberapa,3
sebenernya,3
mereka,3
begitu,3
pinter,3
jaman,3
tuntut,3
sdm,3
jajah,3
toh,3
rusak,3
sbg,3
tik,3
lho,3
ips,3
guys,3
biaya,3
tengah,3
generasi,3
mungkin,3
latih,3
jgn,3
kumpar,3
zanatul,3
91,3
nih,3
kalimat,3
pjok,3
lupa,3
ortu,3
byk,3
pintar,3
42,3
deelvote,3
kristen,3
halaman,3
kemdikbudristek,2
perspektif,2
bantu,2
naskah,2
dorong,2
praktik,2
sisi,2
keras,2
esensial,2
mtk,2
struktur,2
pikir,2
susut,2
jp,2
hilang,2
suruh,2
prakarya,2
jual,2
nyari,2
gantung,2
geometri,2
kepada,2
amat,2
yaitu,2
potensi,2
sosial,2
nama2,2
buka,2
100,2
luar,2
kepala,2
hal,2
keren,2
cemas,2
makariem,2
tiap,2
partaisocmed,2
cepat,2
seperti,2
2023,2
pesan,2
kirim,2
resmi,2
seleksi,2
ibu,2
cek,2
murah,2
derita,2
serius,2
dunia,2
kita,2
alas,2
gamau,2
dinamika,2
partikel,2
by,2
gabriellstrn,2
kritis,2
orang2,2
enggak,2
desa,2
tiada,2
susun,2
oleh,2
jenjang,2
poin,2
siap,2
fasilitas,2
gess,2
n,2
bejibun,2
what,2
bahwa,2
banding,2
entah,2
jokowi,2
bener,2
tu,2
main,2
susah,2
stres,2
bantuin,2
ga,2
responden,2
vektor,2
rangking,2
or,2
guyss,2
nah,2
les,2
dpt,2
klo,2
kelompok,2
knp,2
syal,2
kembali,2
empat,2
program,2
rill,2
ngerjain,2
bahan,2
repot,2
dgn,2
meski,2
abis,2
kena,2
bocil,2
kak,2
asli,2
kemarin,2
awal,2
anies,2
ngerasa,2
cerita,2
dennysiregar7,2
barisanpemudari,2
bakat,2
httpstcotewe1tfcek,2
berita,2
urus,2
keluar,2
apaapa,2
tuntun,2
ortunya,2
mah,2
serang,2
validasi,2
suara,2
profil,2
kami,2
ketua,2
wakil,2
mampu,2
justru,2
males,2
nanti,2
elisa,2
jkt,2
total,2
goblog,2
khusus,2
kitab,2
diabara,2
alih,2
ajaa,2
busuk,2
sekolah2,2
tua,2
ttg,2
of,2
nusantara,2
plus,2
etik,2
gabisa,2
tolong,2
50,2
yaa,2
geografi,2
nemu,2
tetapi,2
yuk,2
mikir,2
buruk,2
eligible,2
10,2
masa,2
dukung,2
is,2
kira,2
gara2,2
dampak,2
apple,2
lihat,2
produk,2
driver,2
t,2
sumpah,2
teknologi,2
the,2
for,2
us,2
tinggi,2
ambil,2
sosialisasi,2
daring,2
muridmurid,2
proyek,2
dll,2
wkwk,2
deh,2
homo,2
sapiens21,2
bagaimana,2
sejahtera,2
cair,2
penuh,2
kacau,2
efektif,2
presentasi,2
google,2
muncul,2
memefess,2
matpel,2
ridwanhr,2
angkat,2
make,2
boleh,2
inti,2
karna,2
sdh,2
1945,2
ngeluh,2
parah,2
3,2
teori,2
praktek,2
sheandwhite,2
kyk,2
hitung,2
cari,2
bnetwork,2
kbm,2
cm,2
kurikilum,2
bodoh,2
makanya,2
muda,2
anti,2
selain,2
40,2
katolik,2
murid2,2
gara,2
seluruh,2
46,2
pkn,2
48,2
indo,2
sbnrnya,2
ib,2
alumni,2
tri,2
sy,2
47,2
orangutan,2
perangkat,2
perangkatajar,2
perangkatajarkurikulummerdeka,2
hah,1
tara,1
gender,1
gotong,1
royong,1
ilustrasi,1
sapu,1
kepel,1
perempuan,1
httpstcod67alhk3gu,1
kronologi,1
final,1
inspirasi,1
httpstcopfcujjfgra,1
diferensiasi,1
agar,1
sungguh,1
mulia,1
lain,1
httpstcobh72xqekz7,1
perlu,1
jerman,1
australia,1
insyaallah,1
httpstcosfmmycbw6r,1
httpstcoly3t5cqpbn,1
cth,1
kcil,1
pdf,1
respon,1
acakacakan,1
lbih,1
langsung,1
hell,1
yh,1
kl,1
blom,1
taxonomy,1
hierarki,1
identify,1
terampil,1
httpstcof7qonujltt,1
smasederajat,1
17,1
lembar,1
darah,1
tread,1
tergajelas,1
itung,1
rugi,1
permisi,1
ndusel,1
leher,1
tidur,1
laba,1
matriks,1
translasi,1
httpstcozebtcr1ei7,1
sex,1
perudungan,1
hajar,1
cabul,1
httpstco5geyanpiow,1
tenwayvx,1
orientasi,1
nder,1
acu,1
selesai,1
lima,1
aspek,1
daya,1
pahlawan,1
hapal,1
httpstcodc6vsco3pa,1
serta,1
damn,1
httpstcoyxcfwptryo,1
httpstcomm5dvsixbx,1
masmenteri,1
realita,1
httpstcoofswtrhv1e,1
semata,1
httpstcozxnjh2av1o,1
erickagunawan1,1
pecat,1
inovasi,1
prestasi,1
subsidi,1
ukt,1
sedia,1
student,1
loan,1
baginda,1
httpstcosdzsaaaqir,1
kisruh,1
skp,1
desember,1
januari,1
seliwer,1
macam,1
grupgrup,1
berani,1
tunjuk,1
identitas,1
dinas,1
httpstcopmuusj2yez,1
parapparaa,1
manusiaintrover,1
gerak,1
adopsi,1
sdmi,1
unduh,1
gratis,1
httpstcolitvzhbmkr,1
ayuk,1
bapak,1
encourage,1
buku2,1
harga,1
httpstcoqopa788s6j,1
httpstcobfnxmgxwoe,1
httpstcopjssctfsaq,1
siapa,1
ni,1
jelasin,1
sc,1
tt,1
vienna8822,1
httpstcohdvmsnasyo,1
lagiapalah,1
httpstcosycjrzmfay,1
karya,1
rezim,1
diem,1
pasrah,1
politik,1
an,1
httpstcoimfm8m9eyv,1
nyaksiin,1
maksa,1
supaya,1
httpstco6rixwsnbwy,1
bro,1
korban,1
httpstcoyvprgldjya,1
httpstcophezxnvhds,1
push,1
berfikir,1
cryptarithm,1
coc,1
httpstcoi6xpaldcx3,1
httpstcoy5tfx42elh,1
httpstcovkn4w3xeag,1
osis,1
httpstco46ngzhfyzn,1
al,1
tanggungjawab,1
lsg,1
kabkota,1
era,1
otonomidaerah,1
wenang,1
sekolahguru,1
kurikulumsilabus,1
httpstcocxe0bzwxfk,1
selamat,1
luncur,1
kini,1
rasi,1
kurator,1
httpstcou6ep7znw4p,1
httpstcofo5yixkrht,1
adiemappunya,1
misuh,1
kaget,1
woow,1
bates,1
2026,1
moga,1
kejar,1
tenaga,1
httpstcoymiofahprb,1
napa,1
krna,1
skrng,1
sbagai,1
jga,1
brubah,1
ngurusin,1
bgini,1
kidding,1
do,1
